"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"212","brazil",14,3023,"change_in_emissions:3025",-17.4265802046498,"cost",1517567135.29548,7
"213","brazil",14,3023,"change_in_emissions:3027",-1.09626079625082,"cost",61046007.2450358,11
"214","brazil",14,3023,"change_in_emissions:3029",-0.935432608482012,"cost",636474.031454127,2
"215","brazil",14,3023,"change_in_emissions:3029",-1.38327235281627,"cost",1128786.20822246,1
"216","brazil",14,3023,"change_in_emissions:3029",-1.22794107732607,"cost",1231841.58679204,3
"217","brazil",14,3023,"change_in_emissions:3029",-1.28141063117214,"cost",732970.897539218,4
"218","brazil",14,3023,"change_in_emissions:3029",-0.877566824072992,"cost",758030.45822297,5
"219","brazil",14,3023,"change_in_emissions:3025",-17.1905215972723,"cost",769096354.558595,4
"220","brazil",14,3023,"change_in_emissions:3025",-17.0946125482881,"cost",1108529780.7632,1
"221","brazil",14,3023,"change_in_emissions:3029",-0.793678908751768,"cost",531985.183155568,10
"222","brazil",14,3023,"change_in_emissions:3027",-1.08159478839886,"cost",74609721.9103817,7
"223","brazil",14,3023,"change_in_emissions:3027",-1.09054375124219,"cost",59585678.4142706,5
"224","brazil",14,3023,"change_in_emissions:3025",-17.1210384192796,"cost",1274005323.59096,6
"225","brazil",14,3023,"change_in_emissions:3029",-0.779737146454654,"cost",911031.613021985,11
"226","brazil",14,3023,"change_in_emissions:3027",-1.07383062998336,"cost",40512418.9890529,9
"227","brazil",14,3023,"change_in_emissions:3027",-1.09544605695603,"cost",113868930.20543,10
"228","brazil",14,3023,"change_in_emissions:3027",-1.06099094743746,"cost",58888535.3511995,1
"229","brazil",14,3023,"change_in_emissions:3029",-1.35520633877854,"cost",1041513.09197732,6
"230","brazil",14,3023,"change_in_emissions:3027",-1.0700683144987,"cost",44516765.9827437,3
"231","brazil",14,3023,"change_in_emissions:3027",-1.07991384168488,"cost",92888728.8644805,8
"232","brazil",15,3023,"change_in_emissions:3029",-1.18656617484948,"cost",715765.356576022,2
