time_period,lndu_reallocation_factor,TransformationName,Nation
19,1,full,guyana
20,1,full,guyana
21,1,full,guyana
22,1,full,guyana
23,1,full,guyana
24,1,full,guyana
25,1,full,guyana
26,1,full,guyana
27,1,full,guyana
28,1,full,guyana
29,1,full,guyana
30,1,full,guyana
31,1,full,guyana
32,1,full,guyana
33,1,full,guyana
34,1,full,guyana
35,1,full,guyana
0,1,none,haiti
1,1,none,haiti
2,1,none,haiti
3,1,none,haiti
4,1,none,haiti
5,1,none,haiti
6,1,none,haiti
7,1,none,haiti
8,1,none,haiti
9,1,none,haiti
10,1,none,haiti
11,1,none,haiti
12,1,none,haiti
13,1,none,haiti
14,1,none,haiti
15,1,none,haiti
16,1,none,haiti
17,1,none,haiti
18,1,none,haiti
19,1,none,haiti
20,1,none,haiti
21,1,none,haiti
22,1,none,haiti
23,1,none,haiti
24,1,none,haiti
25,1,none,haiti
26,1,none,haiti
27,1,none,haiti
28,1,none,haiti
29,1,none,haiti
30,1,none,haiti
31,1,none,haiti
32,1,none,haiti
33,1,none,haiti
34,1,none,haiti
35,1,none,haiti
0,1,full,haiti
1,1,full,haiti
2,1,full,haiti
3,1,full,haiti
4,1,full,haiti
5,1,full,haiti
6,1,full,haiti
7,1,full,haiti
8,1,full,haiti
9,1,full,haiti
10,1,full,haiti
11,1,full,haiti
12,1,full,haiti
13,1,full,haiti
14,1,full,haiti
15,1,full,haiti
16,1,full,haiti
17,1,full,haiti
18,1,full,haiti
19,1,full,haiti
20,1,full,haiti
21,1,full,haiti
22,1,full,haiti
23,1,full,haiti
24,1,full,haiti
25,1,full,haiti
26,1,full,haiti
27,1,full,haiti
28,1,full,haiti
29,1,full,haiti
30,1,full,haiti
31,1,full,haiti
32,1,full,haiti
33,1,full,haiti
34,1,full,haiti
35,1,full,haiti
0,1,none,honduras
1,1,none,honduras
2,1,none,honduras
3,1,none,honduras
4,1,none,honduras
5,1,none,honduras
6,1,none,honduras
7,1,none,honduras
8,1,none,honduras
9,1,none,honduras
10,1,none,honduras
11,1,none,honduras
12,1,none,honduras
13,1,none,honduras
14,1,none,honduras
15,1,none,honduras
16,1,none,honduras
17,1,none,honduras
18,1,none,honduras
19,1,none,honduras
20,1,none,honduras
21,1,none,honduras
22,1,none,honduras
23,1,none,honduras
24,1,none,honduras
25,1,none,honduras
26,1,none,honduras
27,1,none,honduras
28,1,none,honduras
29,1,none,honduras
30,1,none,honduras
31,1,none,honduras
32,1,none,honduras
33,1,none,honduras
34,1,none,honduras
35,1,none,honduras
0,1,full,honduras
1,1,full,honduras
2,1,full,honduras
3,1,full,honduras
4,1,full,honduras
5,1,full,honduras
6,1,full,honduras
7,1,full,honduras
8,1,full,honduras
9,1,full,honduras
10,1,full,honduras
11,1,full,honduras
12,1,full,honduras
13,1,full,honduras
14,1,full,honduras
15,1,full,honduras
16,1,full,honduras
17,1,full,honduras
18,1,full,honduras
19,1,full,honduras
20,1,full,honduras
21,1,full,honduras
22,1,full,honduras
23,1,full,honduras
24,1,full,honduras
25,1,full,honduras
26,1,full,honduras
27,1,full,honduras
28,1,full,honduras
29,1,full,honduras
30,1,full,honduras
31,1,full,honduras
32,1,full,honduras
33,1,full,honduras
34,1,full,honduras
35,1,full,honduras
0,1,none,jamaica
1,1,none,jamaica
2,1,none,jamaica
3,1,none,jamaica
4,1,none,jamaica
5,1,none,jamaica
6,1,none,jamaica
7,1,none,jamaica
8,1,none,jamaica
9,1,none,jamaica
10,1,none,jamaica
11,1,none,jamaica
12,1,none,jamaica
13,1,none,jamaica
14,1,none,jamaica
15,1,none,jamaica
16,1,none,jamaica
17,1,none,jamaica
18,1,none,jamaica
19,1,none,jamaica
20,1,none,jamaica
21,1,none,jamaica
22,1,none,jamaica
23,1,none,jamaica
24,1,none,jamaica
25,1,none,jamaica
26,1,none,jamaica
27,1,none,jamaica
28,1,none,jamaica
29,1,none,jamaica
30,1,none,jamaica
31,1,none,jamaica
32,1,none,jamaica
33,1,none,jamaica
34,1,none,jamaica
35,1,none,jamaica
0,1,full,jamaica
1,1,full,jamaica
2,1,full,jamaica
3,1,full,jamaica
4,1,full,jamaica
5,1,full,jamaica
6,1,full,jamaica
7,1,full,jamaica
8,1,full,jamaica
9,1,full,jamaica
10,1,full,jamaica
11,1,full,jamaica
12,1,full,jamaica
13,1,full,jamaica
14,1,full,jamaica
15,1,full,jamaica
16,1,full,jamaica
17,1,full,jamaica
18,1,full,jamaica
19,1,full,jamaica
20,1,full,jamaica
21,1,full,jamaica
22,1,full,jamaica
23,1,full,jamaica
24,1,full,jamaica
25,1,full,jamaica
26,1,full,jamaica
27,1,full,jamaica
28,1,full,jamaica
29,1,full,jamaica
30,1,full,jamaica
31,1,full,jamaica
32,1,full,jamaica
33,1,full,jamaica
34,1,full,jamaica
35,1,full,jamaica
0,1,none,mexico
1,1,none,mexico
2,1,none,mexico
3,1,none,mexico
4,1,none,mexico
5,1,none,mexico
6,1,none,mexico
7,1,none,mexico
8,1,none,mexico
9,1,none,mexico
10,1,none,mexico
11,1,none,mexico
12,1,none,mexico
13,1,none,mexico
14,1,none,mexico
15,1,none,mexico
16,1,none,mexico
17,1,none,mexico
18,1,none,mexico
19,1,none,mexico
20,1,none,mexico
21,1,none,mexico
22,1,none,mexico
23,1,none,mexico
24,1,none,mexico
25,1,none,mexico
26,1,none,mexico
27,1,none,mexico
28,1,none,mexico
29,1,none,mexico
30,1,none,mexico
31,1,none,mexico
32,1,none,mexico
33,1,none,mexico
34,1,none,mexico
35,1,none,mexico
0,1,full,mexico
1,1,full,mexico
2,1,full,mexico
3,1,full,mexico
4,1,full,mexico
5,1,full,mexico
6,1,full,mexico
7,1,full,mexico
8,1,full,mexico
9,1,full,mexico
10,1,full,mexico
11,1,full,mexico
12,1,full,mexico
13,1,full,mexico
14,1,full,mexico
15,1,full,mexico
16,1,full,mexico
17,1,full,mexico
18,1,full,mexico
19,1,full,mexico
20,1,full,mexico
21,1,full,mexico
22,1,full,mexico
